"","total_trips_v2$member_casual","total_trips_v2$day_of_week","total_trips_v2$ride_length"
"1","casual","Sunday",2370.39482492429
"2","member","Sunday",982.990047036354
"3","casual","Monday",2027.7555916666
"4","member","Monday",830.472271295798
"5","casual","Tuesday",1818.96337642071
"6","member","Tuesday",812.311254916571
"7","casual","Wednesday",1827.99261862917
"8","member","Wednesday",816.999261840085
"9","casual","Thursday",1776.95371278042
"10","member","Thursday",808.129084151124
"11","casual","Friday",1961.72975263307
"12","member","Friday",851.282234841213
"13","casual","Saturday",2217.56568862335
"14","member","Saturday",956.969979264187
