"","member_casual","month","number_of_rides","average_duration"
"1","casual","Jan",18117,1541.07539879671
"2","casual","Feb",10131,2962.39374198006
"3","casual","Mar",84032,2289.55114718203
"4","casual","Apr",136601,2281.37938960915
"5","casual","May",256916,2293.85797303399
"6","casual","Jun",370678,2227.30444482813
"7","casual","Jul",442048,1967.44600812581
"8","casual","Aug",412662,1727.22081509807
"9","casual","Sep",230072,2293.16928179005
"10","casual","Oct",144529,1815.31170214974
"11","casual","Nov",87911,1909.16818145625
"12","casual","Dec",29997,1610.97643097643
"13","member","Jan",78715,772.338702915582
"14","member","Feb",39491,1081.32508672862
"15","member","Mar",144462,838.203126081599
"16","member","Apr",200624,881.352659701731
"17","member","May",274715,878.340997033289
"18","member","Jun",358912,880.672914251962
"19","member","Jul",380349,854.370401920342
"20","member","Aug",391661,846.093631992974
"21","member","Sep",300754,932.407352853162
"22","member","Oct",242213,842.96321419577
"23","member","Nov",170940,815.307856557857
"24","member","Dec",101142,764.961450238279
